city,uof_url,uof_shootings_only,uof_coverage,uof_foia_requested,uof_notes,arr_url,arr_coverage,arr_demographic,arr_download,arr_notes,cfs_url,cfs_coverage,cfs_download,cfs_officer_initiated,cfs_dispatched,cfs_outcome,cfs_location,cfs_notes,crime_url,crime_coverage,crime_download,crime_notes,map_url,map_coverage,map_download,map_notes,cens_pop_2010,cens_est_base,cens_est_2010,cens_est_2011,cens_est_2012,cens_est_2013,cens_est_2014,cens_est_2015,cens_est_2016,cens_est_2017,cens_est_2018,cens_est_2019
50 Largest US Cities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New York city, New York",https://www1.nyc.gov/site/nypd/stats/reports-analysis/use-of-force.page,N,"UoF: 4Q 2016 - 1Q 2020; Firearms, 2007-2018",Y,"Stop and Frisk data goes back to 2003 and includes force use during SQFs, https://www1.nyc.gov/site/nypd/stats/reports-analysis/stopfrisk.page",https://data.cityofnewyork.us/Public-Safety/NYPD-Arrest-Data-Year-to-Date-/uip8-fykc,Year to date,Y,Y,Updated quarterly; historic arrests (to end of prior year) at https://data.cityofnewyork.us/Public-Safety/NYPD-Arrests-Data-Historic-/8h9b-rp9u,N/A,,N,,,,,,https://www1.nyc.gov/site/nypd/stats/reports-analysis/crime-enf.page,2008-2019,N,Annual report; demographic information included,https://www1.nyc.gov/site/nypd/stats/crime-statistics/compstat.page,Unk,N,Site flags privacy error,"8,175,133","8,175,031","8,190,209","8,272,948","8,346,693","8,396,091","8,433,806","8,463,049","8,469,153","8,437,478","8,390,081","8,336,817"
"Los Angeles city, California",http://www.lapdonline.org/use_of_force,Y,2017-2019,Y,Only shootings and critical incidents; some video linked,https://data.lacity.org/A-Safe-City/Arrest-Data-from-2010-to-Present/yru6-6re4,2010-present,Y,Y,,https://data.lacity.org/browse?Data-Owner_Department=LAPD&limitTo=datasets&tags=cfs,2010-present,Y,N,Y,N,N,Neighborhood given; updates weekly,https://data.lacity.org/browse?q=crime%20data&sortBy=relevance,2010-present,Y,,https://www.crimemapping.com/map/ca/losangeles,Last 6 months,N,,"3,792,621","3,793,139","3,795,512","3,820,876","3,851,202","3,881,622","3,909,901","3,938,568","3,963,226","3,975,788","3,977,596","3,979,576"
"Chicago city, Illinois",https://home.chicagopolice.org/statistics-data/data-dashboards/use-of-force-dashboard/,N,2015-present,Y,Dashboard - no download available,https://home.chicagopolice.org/statistics-data/public-arrest-data/,2014-2017,Y,Y,Race is only demographic information given,https://home.chicagopolice.org/statistics-data/statistical-reports/annual-reports/,"1965-2010, 2017-2018",N,,,,,annual report,https://home.chicagopolice.org/statistics-data/statistical-reports/crime-trend-reports/,1991-2007,N,Annual report,http://gis.chicagopolice.org/,Last 90 days,N,,"2,695,598","2,695,652","2,697,477","2,708,114","2,719,141","2,725,731","2,727,066","2,724,344","2,716,723","2,711,069","2,701,423","2,693,976"
"Houston city, Texas",http://www.houstontx.gov/police/ois/,Y,2005-present,Y,"Officer-involved shootings only, no other use of force data reported",N/A,,,,,N/A,,N,,,,,,https://www.houstontx.gov/police/cs/Monthly_Crime_Data_by_Street_and_Police_Beat.htm,2009 to prior month,Y,,https://www.houstontx.gov/police/cs/Community_Crime_Map_hosted_by_LexisNexis.htm,Unk,N,Can only view 500 records at a time,"2,099,451","2,095,517","2,100,280","2,126,032","2,161,593","2,199,391","2,241,826","2,286,908","2,309,544","2,316,750","2,318,573","2,320,268"
"Phoenix city, Arizona",https://www.phoenixopendata.com/dataset/officer-involved-shooting-incidents,Y,2017-present,Y,"Officer-involved shootings only, no other use of force data reported",N/A,,,,,https://www.phoenixopendata.com/dataset/calls-for-service,11/1/2015 to end of prior week,Y,N,Y,Y,Y,100 Block address given,https://www.phoenixopendata.com/dataset/crime-data,11/1/2015 to end of prior week,Y,"Homicides, rapes, robberies, aggravated assaults, burglaries, thefts, motor vehicle thefts, arsons, and drug offenses are included (based on the primary offense listed for each incident)",https://communitycrimemap.com/,Unk,N,Can only view 500 records at a time,"1,445,632","1,446,691","1,449,038","1,469,796","1,499,274","1,526,491","1,555,445","1,583,690","1,612,199","1,633,560","1,654,675","1,680,992"
"Philadelphia city, Pennsylvania",N/A,,,Y,"Complaints vs police is closest: https://www.opendataphilly.org/dataset/police-complaints (last 5 yrs, updated monthly)",https://data.philadao.com/download.html,2014-present,N,Y,"Available Daily Citywide, Daily by Police District, Daily by Zip Code, and Weekly by Census Tract; only includes info available to DA (PD does not publish arrests)",N/A,,N,,,,,,https://www.opendataphilly.org/dataset/crime-incidents,2006-2020,Y,,https://www.opendataphilly.org/dataset?q=crime+map&sort=score+desc%2C+metadata_modified+desc,last 12 months,N,"There's another ""PHL Crime Mapper"" that says access denied when you click","1,526,006","1,526,012","1,528,283","1,540,466","1,551,824","1,558,313","1,565,460","1,571,065","1,576,051","1,580,601","1,583,592","1,584,064"
"San Antonio city, Texas",https://www.sanantonio.gov/SAPD/SAPD-Open-Data-Initiative#182281928-use-of-force-incidents,N,2018-2019,Y,Use of force data in summary form (numeric and percentage change comparsion to past year); all police involved shootings 2015 to present available at https://www.sanantonio.gov/SAPD/Officer-Involved-Shooting,N/A,,,,,https://www.sanantonio.gov/SAPD/Calls,Unk,N,,,,,Website down,https://www.sanantonio.gov/SAPD/Uniform-Crime-Reports#30263860-2020,2011 to prior month,N,UCR summary stats,https://communitycrimemap.com/?address=78205,Unk,N,Can only view 500 records at a time,"1,327,407","1,326,161","1,332,299","1,357,120","1,383,075","1,408,339","1,435,456","1,464,043","1,487,843","1,511,154","1,530,016","1,547,253"
"San Diego city, California",N/A,,,Y,Campaign Zero has use of force analysis for SD co. and city covering 2016-2018: https://www.joincampaignzero.org/sandiego,N/A,,,,,https://data.sandiego.gov/datasets/police-calls-for-service/,2015-prior day,Y,,,Y,Y,Codebooks in separate CSVs; monthly 911 summary reports (PDFs) at https://www.sandiego.gov/police/services/911monthlyreports,https://www.sandag.org/index.asp?classid=14&subclassid=21&projectid=446&fuseaction=projects.detail,past 180 days,Y,CSV of data from crime map for SD region,https://www.crimemapping.com/map/location/san%20diego?id=,Unk,N,Can only view 1000 records at a time,"1,307,402","1,301,929","1,305,906","1,319,592","1,336,776","1,355,320","1,375,831","1,387,323","1,402,089","1,412,621","1,421,917","1,423,851"
"Dallas city, Texas",https://www.dallasopendata.com/browse?limitTo=datasets&q=police&tags=use+of+force,N,2013-2016,Y,"""Response to Resistance""; officer involved shootings from 2003-2016 at https://www.dallaspolice.net/ois/ois",https://www.dallasopendata.com/Public-Safety/Police-Arrests/sdr7-6v3j,June 2014 - present,Y,Y,Very detailed info including location,https://www.dallasopendata.com/Public-Safety/Dallas-Police-Active-Calls/9fxf-t2tr,"Currently active calls only, updated every few minutes",Y,N,,,Y,,https://www.dallasopendata.com/Public-Safety/Police-Incidents/qv6i-rri7,June 2014-present,Y,"RMS reports; there are other datasets (""bulk data"") dating back to 2012-2014 range available",,,N,,"1,197,816","1,197,658","1,200,350","1,218,282","1,242,115","1,258,835","1,279,098","1,301,329","1,323,916","1,342,479","1,341,802","1,343,573"
